,datetime
0,2003-02-25 16:00:00
1,2003-02-25 15:00:00
2,2003-02-25 14:00:00
3,2003-02-25 13:00:00
4,2003-02-25 12:00:00
5,2003-02-25 11:00:00
6,2003-02-25 10:00:00
7,2003-02-25 09:00:00
8,2003-02-25 08:00:00
9,2003-02-25 07:00:00
10,2003-02-25 06:00:00
11,2003-02-25 05:00:00
12,2003-02-25 04:00:00
13,2003-02-25 03:00:00
14,2003-02-25 02:00:00
15,2003-02-25 01:00:00
16,2003-02-25 00:00:00
17,2003-02-24 23:00:00
18,2003-02-24 22:00:00
19,2003-02-24 21:00:00
20,2003-02-24 20:00:00
21,2003-02-24 19:00:00
22,2003-02-24 18:00:00
23,2003-02-24 17:00:00
24,2003-02-24 16:00:00
25,2003-02-24 15:00:00
26,2003-02-24 14:00:00
27,2003-02-24 13:00:00
28,2003-02-24 12:00:00
29,2003-02-24 11:00:00
30,2003-02-24 10:00:00
31,2003-02-24 09:00:00
32,2003-02-24 08:00:00
33,2003-02-24 07:00:00
34,2003-02-24 06:00:00
35,2003-02-24 05:00:00
36,2003-02-24 04:00:00
37,2003-02-24 03:00:00
38,2003-02-24 02:00:00
39,2003-02-24 01:00:00
40,2003-02-24 00:00:00
41,2003-02-23 23:00:00
42,2003-02-23 22:00:00
43,2003-02-23 21:00:00
44,2003-02-23 20:00:00
45,2003-02-23 19:00:00
46,2003-02-23 18:00:00
47,2003-02-23 17:00:00
48,2003-02-23 16:00:00
49,2003-02-23 15:00:00
50,2003-02-23 14:00:00
51,2003-02-23 13:00:00
52,2003-02-27 14:00:00
53,2003-02-27 13:00:00
54,2003-02-27 12:00:00
55,2003-02-27 11:00:00
56,2003-02-27 10:00:00
57,2003-02-27 09:00:00
58,2003-02-27 08:00:00
59,2003-02-27 07:00:00
60,2003-02-27 06:00:00
61,2003-02-27 05:00:00
62,2003-02-27 04:00:00
63,2003-02-27 03:00:00
64,2003-02-27 02:00:00
65,2003-02-27 01:00:00
66,2003-02-27 00:00:00
67,2003-02-26 23:00:00
68,2003-02-26 22:00:00
69,2003-02-26 21:00:00
70,2003-02-26 20:00:00
71,2003-02-26 19:00:00
72,2003-02-26 18:00:00
73,2003-02-26 17:00:00
74,2003-02-26 16:00:00
75,2003-02-26 15:00:00
76,2003-02-26 14:00:00
77,2003-02-26 13:00:00
78,2003-02-26 12:00:00
79,2003-02-26 11:00:00
80,2003-02-26 10:00:00
81,2003-02-26 09:00:00
82,2003-02-26 08:00:00
83,2003-02-26 07:00:00
84,2003-02-26 06:00:00
85,2003-02-26 05:00:00
86,2003-02-26 04:00:00
87,2003-02-26 03:00:00
88,2003-02-26 02:00:00
89,2003-02-26 01:00:00
90,2003-02-26 00:00:00
91,2003-03-16 14:00:00
92,2003-03-16 13:00:00
93,2003-03-16 12:00:00
94,2003-03-16 11:00:00
95,2003-03-16 10:00:00
96,2003-03-16 09:00:00
97,2003-03-16 08:00:00
98,2003-03-16 07:00:00
99,2003-03-16 06:00:00
100,2003-03-16 05:00:00
101,2003-03-16 04:00:00
102,2003-03-16 03:00:00
103,2003-03-16 02:00:00
104,2003-03-16 01:00:00
105,2003-03-16 00:00:00
106,2003-03-15 23:00:00
107,2003-03-15 22:00:00
108,2003-03-15 21:00:00
109,2003-03-15 20:00:00
110,2003-03-15 19:00:00
111,2003-03-15 18:00:00
112,2003-03-15 17:00:00
113,2003-03-15 16:00:00
114,2003-03-15 15:00:00
115,2003-03-15 14:00:00
116,2003-03-15 13:00:00
117,2003-03-15 12:00:00
118,2003-03-15 11:00:00
119,2003-03-15 10:00:00
120,2003-03-15 09:00:00
121,2003-03-15 08:00:00
122,2003-03-15 07:00:00
123,2003-03-15 06:00:00
124,2003-03-15 05:00:00
125,2003-03-15 04:00:00
126,2003-03-15 03:00:00
127,2003-03-15 02:00:00
128,2003-03-15 01:00:00
129,2003-03-15 00:00:00
130,2003-03-14 23:00:00
131,2003-03-14 22:00:00
132,2003-03-14 21:00:00
133,2003-03-14 20:00:00
134,2003-03-14 19:00:00
135,2003-03-14 18:00:00
136,2003-03-14 17:00:00
137,2003-03-14 16:00:00
138,2003-03-14 15:00:00
139,2003-03-14 14:00:00
140,2003-03-14 13:00:00
141,2003-03-14 12:00:00
142,2003-03-14 11:00:00
143,2003-03-14 10:00:00
144,2003-03-14 09:00:00
145,2003-03-14 08:00:00
146,2003-03-14 07:00:00
147,2003-03-14 06:00:00
148,2003-03-14 05:00:00
149,2003-03-14 04:00:00
150,2003-03-14 03:00:00
151,2003-03-14 02:00:00
152,2003-03-14 01:00:00
153,2003-09-09 17:00:00
154,2003-09-09 16:00:00
155,2003-09-09 15:00:00
156,2003-09-09 14:00:00
157,2003-09-09 13:00:00
158,2003-09-09 12:00:00
159,2003-09-09 11:00:00
160,2003-09-09 10:00:00
161,2003-09-09 09:00:00
162,2003-09-09 08:00:00
163,2003-09-09 07:00:00
164,2003-09-09 06:00:00
165,2003-09-09 05:00:00
166,2003-09-09 04:00:00
167,2003-09-09 03:00:00
168,2003-09-09 02:00:00
169,2003-09-09 01:00:00
170,2003-09-09 00:00:00
171,2003-09-08 23:00:00
172,2003-09-08 22:00:00
173,2003-09-08 21:00:00
174,2003-09-08 20:00:00
175,2003-09-08 19:00:00
176,2003-09-08 18:00:00
177,2003-09-08 17:00:00
178,2003-09-08 16:00:00
179,2003-09-08 15:00:00
180,2003-09-08 14:00:00
181,2003-09-08 13:00:00
182,2003-09-08 12:00:00
183,2003-09-08 11:00:00
184,2003-09-08 10:00:00
185,2003-09-08 09:00:00
186,2003-09-08 08:00:00
187,2003-09-08 07:00:00
188,2003-09-08 06:00:00
189,2003-09-08 05:00:00
190,2003-09-08 04:00:00
191,2003-09-08 03:00:00
192,2003-09-08 02:00:00
193,2003-09-08 01:00:00
194,2003-09-08 00:00:00
195,2003-09-07 23:00:00
196,2003-09-07 22:00:00
197,2003-09-07 21:00:00
198,2003-09-07 20:00:00
199,2003-09-07 19:00:00
200,2003-09-07 18:00:00
201,2003-09-07 17:00:00
202,2003-09-07 16:00:00
203,2003-09-07 15:00:00
204,2003-09-07 14:00:00
205,2003-09-07 13:00:00
206,2003-09-07 12:00:00
207,2003-09-07 11:00:00
208,2003-09-07 10:00:00
209,2003-11-11 12:00:00
210,2003-11-11 11:00:00
211,2003-11-11 10:00:00
212,2003-11-11 09:00:00
213,2003-11-11 08:00:00
214,2003-11-11 07:00:00
215,2003-11-11 06:00:00
216,2003-11-11 05:00:00
217,2003-11-11 04:00:00
218,2003-11-11 03:00:00
219,2003-11-11 02:00:00
220,2003-11-11 01:00:00
221,2003-11-11 00:00:00
222,2004-01-02 15:00:00
223,2004-01-02 14:00:00
224,2004-01-02 13:00:00
225,2004-01-02 12:00:00
226,2004-01-02 11:00:00
227,2004-01-02 10:00:00
228,2004-01-02 09:00:00
229,2004-01-02 08:00:00
230,2004-01-02 07:00:00
231,2004-01-02 06:00:00
232,2004-01-02 05:00:00
233,2004-01-02 04:00:00
234,2004-01-02 03:00:00
235,2004-01-02 02:00:00
236,2004-01-02 01:00:00
237,2004-01-02 00:00:00
238,2004-01-01 23:00:00
239,2004-01-01 22:00:00
240,2004-01-01 21:00:00
241,2004-01-01 20:00:00
242,2004-01-01 19:00:00
243,2004-01-01 18:00:00
244,2004-01-01 17:00:00
245,2004-01-01 16:00:00
246,2004-01-01 15:00:00
247,2004-01-01 14:00:00
248,2004-01-01 13:00:00
249,2004-01-01 12:00:00
